yil;ay;otorite_adi;istasyon_adi;tekil_yolcu_sayisi;yolcu_sayisi
2025;2;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;Kabataş Ahşap İskele;1119;1209
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;USKUDAR;46002;81173
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kadıköy (Eski);7748;14434
2025;2;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;Üsküdar;219588;522059
2025;2;BEYDEN DENIZ ULASIM HIZMETLERI TURIZM VE TIC. LTD. STI.;BEYDEN - Beykoz;5636;17111
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BOSTANCI;1358;4092
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beylerbeyi;1489;3996
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Sarıyer;7541;15941
2025;2;ISTANBUL SEHIR HATLARI TUR. SAN. VE TIC. AS.;Çubuklu Arabalı;7672;19778
2025;2;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Büyükada;11768;26991
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Büyükdere;1306;1949
2025;2;ISTANBUL SEHIR HATLARI TUR. SAN. VE TIC. AS.;İstinye Cubuklu;8748;22329
2025;2;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Kadıköy Balon;30106;47041
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Balat;2137;3478
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Anadolu Kavağı;2816;5464
2025;2;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;;1;1
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beykoz;4228;9450
2025;2;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Burgazada;2626;6394
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;ORTAKOY;19828;34314
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Moda;877;1327
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kanlıca;1528;2787
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KINALIADA;3075;7984
2025;2;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Kartal;12108;37442
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;HEYBELIADA;7842;22989
2025;2;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Kadıköy Çayırbaşı;110499;178554
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Arnavutköy;3458;6925
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kandilli;482;1243
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Eyüp;12195;17122
2025;2;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Eskihisar;4259;8378
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;EMINONU BOGAZ;39904;79362
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BARBAROS;74477;112875
2025;2;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Üsküdar;24225;53515
2025;2;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Büyükada;10162;30792
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Hasköy;5520;10745
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KARAKOY;96587;153357
2025;2;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Heybelıada;3447;10020
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Sütlüce;3346;5666
2025;2;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Bostancı;21462;52091
2025;2;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Eminönü;81897;130187
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Fener;6212;9998
2025;2;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Karaköy;44808;105431
2025;2;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;YENİ KABATAŞ;36118;86944
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Ayvansaray;816;1197
2025;2;BEYDEN DENIZ ULASIM HIZMETLERI TURIZM VE TIC. LTD. STI.;BEYDEN - Yeniköy;5778;18416
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kuzguncuk;577;1404
2025;2;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Sirkeci-Harem;9007;15950
2025;2;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Harem;8894;15378
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Eminönü - Üsküdar;93759;144442
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Karaköy;10300;15073
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Çengelköy;8935;32918
2025;2;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Heybeliada;4899;12948
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Poyraz;221;225
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BURGAZADA;4250;11646
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;İstinye;3056;6156
2025;2;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;Beşiktaş;245652;524166
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Emirgan;2833;4496
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KADIKOY ESKI;102698;153930
2025;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Yenikapı;1;1
